valence,year,acousticness,artists_combined,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artist_count,artist_1,genre,anomaly
0.0572,1978,0.976,['Brian Eno'],0.063,578467,0.0295,0,3QpN3dazIcMNqru0L1qLMt,0.947,2,0.108,-25.697,0,2/2 - Remastered 2004,44,1/1/1978,0.0361,67.369,1,Brian Eno,Ambient,-1
0.0371,1978,0.972,['Brian Eno'],0.133,727080,0.0159,0,5z1E46RvhI34TTM2FDMPrp,0.943,5,0.089,-25.925,0,1/2 - Remastered 2004,44,1/1/1978,0.0481,80.176,1,Brian Eno,Ambient,-1
0.164,1980,0.991,"['Harold Budd', 'Brian Eno']",0.125,426533,0.0108,0,0r4FEHukFd50r43uTuYmHY,0.945,0,0.057,-32.126,1,First Light - 2004 Digital Remaster,45,1/1/1980,0.0376,71.332,2,Harold Budd,Minimalism,-1
0.0592,1983,0.992,['Brian Eno'],0.149,480280,0.0271,0,1cWHaz5GDrhfnkXTIYlGHh,0.932,5,0.0632,-33.771,1,Stars - Remastered 2005,46,7/1/1983,0.0487,82.003,1,Brian Eno,Ambient,-1
0.0388,1983,0.378,['Pink Floyd'],0.364,77030,0.0297,0,2rcpqbAf0ZXdgddldbu1sU,0.8,2,0.113,-25.35,1,One of the Few,44,3/21/1983,0.0417,172.049,1,Pink Floyd,psychedelia,-1
0.0298,1984,0.989,"['Harold Budd', 'Brian Eno']",0.115,292213,0.00151,0,50mwGp3PgKoZldhBvfy2cf,0.82,10,0.112,-36.995,0,Against The Sky - 2005 Digital Remaster,51,1/1/1984,0.0454,69.634,2,Harold Budd,Minimalism,-1
0.0454,1987,0.263,['GG Allin'],0.29,211227,0.939,1,7JQKj4FveKAYgk1UzW8Vo3,0.44,11,0.274,-5.545,0,Bite It You Scum,45,4/15/1987,0.0689,101.984,1,GG Allin,shock rock,-1
0.166,1989,0.000367,['The Stone Roses'],0.731,594453,0.875,0,2mv6GY70UsHiTCGQZ4JfgC,0.858,7,0.289,-6.393,1,Fools Gold - Remastered,61,5/2/1989,0.0459,112.775,1,The Stone Roses,alternative rock,-1
0.0918,1989,0.000169,['Red Hot Chili Peppers'],0.167,229960,0.975,1,0tp9eoX9x9RZ2STDVarBBs,0.0161,2,0.172,-4.279,1,Nobody Weird Like Me - Remastered,53,8/16/1989,0.216,199.06,1,Red Hot Chili Peppers,funk metal,-1
0.362,1990,3.45e-05,['Pantera'],0.304,286693,0.912,1,4c6yZLnA730uJgQf9fTW2M,0.853,11,0.113,-13.313,0,Heresy,49,7/20/1990,0.0438,173.098,1,Pantera,heavy metal,-1
0.343,1993,0.826,['Adam Sandler'],0.396,228133,0.577,0,10zEjN1uWiYKSLo01BGlJx,0.0,6,0.954,-13.277,1,The Thanksgiving Song,46,9/24/1993,0.823,88.212,1,Adam Sandler,surreal humor,-1
0.48,1996,0.388,['DJ Shadow'],0.613,399027,0.832,1,4cucslsiEgezV2o900Ykg3,0.95,8,0.0865,-9.187,1,Building Steam With A Grain Of Salt,54,1/1/1996,0.0281,164.876,1,DJ Shadow,abstract hip-hop,-1
0.232,2001,0.433,['Immortal Technique'],0.673,579293,0.871,1,7MDUVH4ITohsIjdynRwCJp,0.0,1,0.477,-5.781,0,Dance With the Devil,58,9/18/2001,0.415,89.186,1,Immortal Technique,Hip hop,-1
0.722,2009,0.193,['The Notorious B.I.G.'],0.433,217000,0.862,1,6jCGzZn0gFeRlbqdaJhw6T,0.0,1,0.604,-3.89,0,Party and Bullshit - 2008 Remaster,63,1/12/2009,0.412,200.817,1,The Notorious B.I.G.,Hip hop,-1
0.0376,2011,0.993,['C418'],0.129,65000,0.00376,0,7K7E7LKK51PezScgsvVg9Y,0.382,3,0.0774,-41.766,0,Key,61,3/4/2011,0.0379,147.148,1,C418,Ambient,-1
0.0634,2012,0.581,['The Weeknd'],0.287,363640,0.498,1,7xqANDRz8JFxkwfY65WISy,7.56e-05,6,0.322,-7.523,0,Loft Music,63,1/1/2012,0.177,171.725,1,The Weeknd,Pop,-1
0.633,1932,0.331,"['Jack Teagarden', 'Red Nichols & His Five Pennies']",0.584,163413,0.19,0,62KT1mZLaLBegYv0ufMUNl,0.776,8,0.0473,-15.188,1,Keep a Song In Your Soul,0,12/6/1932,0.471,206.293,2,Jack Teagarden,dixieland,-1
0.85,1937,0.99,['Harry James'],0.611,149147,0.419,0,5RP52cZzHKA1ECZg325efP,0.902,5,0.879,-13.556,1,Ciribiribin (They're So In Love),0,1/1/1937,0.133,103.924,1,Harry James,swing,-1
1e-05,1938,0.785,['Benny Goodman'],0.158,21467,1.0,0,6DQ5ZjqGTNCyUWQ3hjOB6r,0.933,0,0.952,-17.484,1,Applause; Martha Tilton Returns to Stage - Live,0,1/1/1938,0.0635,104.097,1,Benny Goodman,swing,-1
0.92,1949,0.986,"['Lata Mangeshkar', 'Mohammed Rafi', 'G. M. Durrani']",0.443,352760,0.715,0,1EuVPFhrZHKpx9Mj8HQW4y,0.849,8,0.89,-8.767,0,"Lara Lappa Lara Lappa Laai, Pt. 1",5,12/1/1949,0.164,150.323,3,Lata Mangeshkar,classical,-1
0.416,1950,0.995,['Lata Mangeshkar'],0.352,193333,0.0989,0,00a8mZIrYshErBYRiY6J7d,0.918,9,0.0989,-16.738,1,Aesi Mohabbat Se Ham Baaz Aaye,0,1/1/1950,0.128,50.688,1,Lata Mangeshkar,classical,-1
0.0501,1954,0.976,"['Oscar Peterson', 'Buddy DeFranco']",0.142,294747,0.131,0,2mLREhv9D2MJV5uaMDbMH9,0.878,6,0.369,-17.421,1,"Bess, You Is My Woman Now",13,1/1/1954,0.0388,77.452,2,Oscar Peterson,classical,-1
0.114,1954,0.964,"['Oscar Peterson', 'Buddy DeFranco']",0.163,225920,0.0952,0,6TeEiEul6FcTg7j4WyutGC,0.835,7,0.204,-18.608,1,I Wants To Stay Here,12,1/1/1954,0.0386,63.533,2,Oscar Peterson,classical,-1
0.311,1955,0.753,"['Dinah Washington', 'Clifford Brown']",0.276,146707,0.313,0,1Iiinz5EjRkU9TGY74YNLe,0.899,9,0.921,-13.397,1,"Summertime - Live In Los Angeles, 1954",13,6/19/1955,0.044,76.433,2,Dinah Washington,R&B,-1
0.546,1960,0.897,['Tom Lehrer'],0.531,313707,0.314,0,0XjFMvN6gETMQlTV8jZe4E,0.0,2,0.778,-18.402,0,The Irish Ballad,20,1/1/1960,0.938,69.59,1,Tom Lehrer,novelty,-1
0.83,1965,0.91,['Tom Lehrer'],0.46,106600,0.575,0,5VecMLA2RrjfBAP2hqvLVa,0.0,7,0.709,-13.058,1,Wernher Von Braun,26,1/1/1965,0.929,174.122,1,Tom Lehrer,novelty,-1
